"match_num","ground","bat_1st_6s","bat_1st_4s","bat_2nd_6s","bat_2nd_4s"
1,"The Oval",3,29,4,21
2,"Nottingham",3,9,5,11
3,"Cardiff",2,11,3,14
4,"Bristol",7,24,4,17
5,"The Oval",3,37,3,23
6,"Nottingham",6,29,5,31
7,"Cardiff",1,15,2,14
8,"Southampton",3,13,2,22
9,"The Oval",1,21,3,24
10,"Nottingham",4,29,4,33
12,"Cardiff",14,28,2,22
13,"Taunton",1,25,1,20
14,"The Oval",8,31,4,28
17,"Taunton",6,27,7,23
19,"Southampton",6,14,0,24
20,"The Oval",7,30,4,20
21,"Cardiff",0,15,1,14
22,"Manchester",6,28,3,18
23,"Taunton",11,20,6,32
24,"Manchester",25,21,8,16
25,"Birmingham",4,18,3,24
26,"Nottingham",10,34,4,30
27,"Leeds",3,15,5,15
28,"Southampton",1,15,1,15
29,"Manchester",4,23,13,27
30,"Lords",5,31,4,19
31,"Southampton",1,17,1,13
32,"Lords",3,30,3,24
33,"Birmingham",4,18,2,27
34,"Manchester",3,27,1,12
35,"Chester-le-Street",1,16,1,18
36,"Leeds",2,21,1,20
37,"Lords",0,24,2,9
38,"Birmingham",13,27,1,35
39,"Chester-le-Street",3,32,7,28
40,"Birmingham",7,27,2,31
41,"Chester-le-Street",1,32,0,14
42,"Leeds",12,25,5,27
43,"Lords",1,30,2,20
44,"Leeds",2,24,3,30
45,"Manchester",7,26,4,37
46,"Manchester",1,15,5,13
47,"Birmingham",2,15,5,30
