"match_num","team","position_before","position_after","points_after"
1,"England",NULL,1,2
1,"South Africa",NULL,2,0
1,"Afghanistan",NULL,NULL,NULL
1,"Australia",NULL,NULL,NULL
1,"Bangladesh",NULL,NULL,NULL
1,"India",NULL,NULL,NULL
1,"New Zealand",NULL,NULL,NULL
1,"Pakistan",NULL,NULL,NULL
1,"Sri Lanka",NULL,NULL,NULL
1,"West Indies",NULL,NULL,NULL
2,"England",1,1,2
2,"West Indies",2,1,2
2,"Pakistan",NULL,3,0
2,"South Africa",NULL,3,0
2,"Afghanistan",NULL,NULL,NULL
2,"Australia",NULL,NULL,NULL
2,"Bangladesh",NULL,NULL,NULL
2,"India",NULL,NULL,NULL
2,"New Zealand",NULL,NULL,NULL
2,"Sri Lanka",NULL,NULL,NULL
3,"England",1,1,2
3,"New Zealand",1,1,2
3,"West Indies",3,1,2
3,"Pakistan",3,4,0
3,"South Africa",NULL,4,0
3,"Sri Lanka",NULL,4,0
3,"Afghanistan",NULL,NULL,NULL
3,"Australia",NULL,NULL,NULL
3,"Bangladesh",NULL,NULL,NULL
3,"India",NULL,NULL,NULL
4,"Australia",1,1,2
4,"England",1,1,2
4,"New Zealand",1,1,2
4,"West Indies",4,1,2
4,"Afghanistan",4,5,0
4,"Pakistan",4,5,0
4,"South Africa",NULL,5,0
4,"Sri Lanka",NULL,5,0
4,"Bangladesh",NULL,NULL,NULL
4,"India",NULL,NULL,NULL
5,"Australia",1,1,2
5,"Bangladesh",1,1,2
5,"England",1,1,2
5,"New Zealand",1,1,2
5,"West Indies",5,1,2
5,"Afghanistan",5,6,0
5,"Pakistan",5,6,0
5,"South Africa",5,6,0
5,"Sri Lanka",NULL,6,0
5,"India",NULL,NULL,NULL
6,"Australia",1,1,2
6,"Bangladesh",1,1,2
6,"England",1,1,2
6,"New Zealand",1,1,2
6,"Pakistan",1,1,2
6,"West Indies",6,1,2
6,"Afghanistan",6,7,0
6,"South Africa",6,7,0
6,"Sri Lanka",6,7,0
6,"India",NULL,NULL,NULL
7,"Australia",1,1,2
7,"Bangladesh",1,1,2
7,"England",1,1,2
7,"New Zealand",1,1,2
7,"Pakistan",1,1,2
7,"Sri Lanka",1,1,2
7,"West Indies",7,1,2
7,"Afghanistan",7,8,0
7,"South Africa",7,8,0
7,"India",NULL,NULL,NULL
8,"Australia",1,1,2
8,"Bangladesh",1,1,2
8,"England",1,1,2
8,"India",1,1,2
8,"New Zealand",1,1,2
8,"Pakistan",1,1,2
8,"Sri Lanka",1,1,2
8,"West Indies",8,1,2
8,"Afghanistan",8,9,0
8,"South Africa",NULL,9,0
9,"New Zealand",1,1,4
9,"Australia",1,2,2
